Product_Page,Price,Brand,Review Count,Rating,Location,Link
3,38560.0,"MSI NOTEBOOK CYBORG 15 A12VE-626TH | 15.6"" FHD | IPS | Intel Core i7 12650H | NVIDIA GeForce RTX 4050 | 16GB(8GBx2) DDR5 | 512GB NVMe SSD | Windows 11 Home + Office Home & Student 2021()[Pre-Order 7-15]",3,5,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i4969864973.html
3,38230.0,i770R Aqua Lung Dive Computer,1,5,ภูเก็ต,https://www.lazada.co.th/products/pdp-i1928044440.html
3,38191.94,Ableton Push 3 without processor Live12 Suite Bundle ()(MIDI Controller)(ProPlugin),1,5,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i4867567131.html
3,37980.0,[0%10.]MSI KATANA GF66 12UEK-1037TH /i7-12650H/ 2 Years,1,5,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i4325930198.html
3,37470.0,HITACHI  4  MULTI-DOORS RWB640PTH1 GCK Black 19.8  560    INVERTER [],7,4,สมุทรปราการ,https://www.lazada.co.th/products/pdp-i3770469762.html
3,36990.0,( ) Electrolux  EWF1342R9SC 13 . (- ),2,5,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i5340845161.html
3,35900.0,"MITSUBISHI HEAVY DUTY  FIXED SPEED  25,249 BTU  SRK24CXV-W1 ()",9,4,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i2153586893.html
3,35700.0,"[] SAMSUNG  WindFree 4 Way Cassette  AC052-4W1-ST, 17,000 BTU/.",2,5,ชลบุรี,https://www.lazada.co.th/products/pdp-i3642162366.html
3,35475.0,[+] HP Victus 16-r0356TX / 16-r0357TX /i5-13500HX /RTX4060 4050 /16GB /512GB /16.1 inch FHD IPS 165 Hz,6,4,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i5430836093.html
3,35440.0,HP Pavilion Aero 13.3 inch Laptop 13-bg0055AU - 7-8840U - AMD Radeon - 16GB - 512GB - Win 11 - MS H - S 21 - 3Yrs,3,5,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i5426113811.html
3,35300.0,"[] SAMSUNG  WindFree 1 Way Cassette Panel  AC052-1W1-ST, 17,000 BTU/.",7,4,ชลบุรี,https://www.lazada.co.th/products/pdp-i3633885672.html
3,34990.0,"[] SAMSUNG  Side by Side RS64R5131B4/ST with All-around Cooling, 22.4  (635L)",38,4,ชลบุรี,https://www.lazada.co.th/products/pdp-i2764886563.html
3,34900.0,"(Pre-Order) Apple MacBook Air  13  M4 (Y2025)  CPU  10-core, GPU  8-core, Ram 16GB SSD256GB [iStudio by UFicon]",4,5,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i5665856235.html
3,34900.0,"13-inch MacBook Air: Apple M4 chip with 10-core CPU and 8-core GPU, 16GB, 256GB SSD (2025)",83,5,ฉะเชิงเทรา,https://www.lazada.co.th/products/pdp-i5661078924.html
3,34900.0,Apple MacBook Air 13 : M4 chip 10C CPU/8C GPU/16GB/256GB (2025) by Studio 7,1,5,สมุทรปราการ,https://www.lazada.co.th/products/pdp-i5647076106.html
3,33990.0,DELL G15 Gaming Laptop (5535) OGN553550001GTH Dark Shadow Gray [ Ryzen5 7640HS + RTX3050 6GB ],1,5,เชียงใหม่,https://www.lazada.co.th/products/pdp-i5232673568.html
1,33990.0,[! ] HP All-in-One 27-cr1002d Intel® Core™ Ultra 7 155U - 16GB - 1TB - Win 11 Home - MS HS 2021 - 3Yrs,1,5,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i5361191731.html
4,33490.0,HITACHI  2  SIDE BY SIDE  RS600PTH0 GS   21  595   INVERTER [],22,4,สมุทรปราการ,https://www.lazada.co.th/products/pdp-i1823890035.html
1,33190.0,AIO Lenovo IdeaCentre AIO 27IRH9 (F0HM006UTA),1,5,นนทบุรี,https://www.lazada.co.th/products/pdp-i5695802562.html
4,32990.0,"ASUS S5 Mini Tower S503MER-714700007WA, desktop, Intel Core i7-14700, Intel UHD Graphics 770, 32GB(16x2) DDR5 U-DIMM, 512GB M.2 2280 NVMe PCIe 4.0 SSD",1,5,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i5619768734.html
4,32990.0,"ASUS TUF Gaming A15 gaming laptop 15.6Inch, 144Hz FHD IPS, NVIDIA GeForce RTX 4050 , AMD Ryzen 7 7435HS, 16GB DDR5, 512GB PCIe 4.0 NVMe M.2 SSD, FA507NUR-LP037W",2,5,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i5165307864.html
4,32960.0,ASUS ROG Ally X (2024) AMD Ryzen™ Z1 Extreme () Gaming Handhelds  By Speed Gaming,37,5,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i5305664901.html
4,32280.0,[ 0% 10 .]LENOVO LOQ 15IRX9 83DV00LETA/i5-13450HX/ 3 Years,17,4,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i5300655799.html
4,31990.0,"Brother M330E Embroidery Machine     135 ,  1 ",1,5,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i4626242697.html
4,31825.0,"[+] HP Pavilion 16 inch Laptop 16-ag0029AU , Blue/7 8840U / AMD Ryzen 7 / 16 GB / 512 GB /Win11 /MS H&S",4,5,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i5443020242.html
